formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C12H19NOS2	[M + H]+	C12H20NOS2+	Alkaloids	0.279	Fatty amides	0.144	Primary amides	0.036	Benzenoids	0.777	Phenols	0.630	1-hydroxy-2-unsubstituted benzenoids	0.594			1-hydroxy-2-unsubstituted benzenoids	0.594	Organic compounds; Organosulfur compounds; Phenols; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Dithiocarbamic acids and derivatives; Dithiocarbamic acid esters; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	258.097	38	0.642	740686346712197993	740686083024692075	876	
1	C16H24N6O5	[M + H]+	C16H25N6O5+	Carbohydrates	0.979	Nucleosides	0.930	Purine nucleosides	0.886	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.875	Glycosyl compounds	0.817	Glycosylamines	0.886	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; 6-aminopurines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	381.187	40	0.669	740686353951567601	740686085012792241	1775	
1	C13H13F3N4O2	[M + H]+	C13H14F3N4O2+	Alkaloids	0.546	Small peptides	0.548	Aminoacids	0.388	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.991	Amino acids, peptides, and analogues	0.814	Amino acids and derivatives	0.815	Alpha amino acids and derivatives	0.532	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Aminopyrimidines and derivatives; Diazines; Organofluorides; Carbonyl compounds; Benzenoids; Amines; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	315.105	47	0.776	740686353632800316	740686083779666820	2921	
1	C12H17NO2	[M + H]+	C12H18NO2+	Alkaloids	0.464	Small peptides	0.317	Aminoacids	0.154	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.987	Amino acids, peptides, and analogues	0.912	Amino acids and derivatives	0.912	Gamma amino acids and derivatives	0.713	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Gamma amino acids and derivatives; Dialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Aralkylamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	208.133	78	1.296	740686353876070075	740686082286494551	4643	
1	C14H25N3O6	[M + H]+	C14H26N3O6+	Amino acids and Peptides	1.000	Small peptides	0.999	Tripeptides	0.999	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.998	Peptides	0.999	Oligopeptides	0.995	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	332.182	116	1.932	740686354094173949	740686084224263059	5302	
1	C17H22N2O7	[M + H]+	C17H23N2O7+	Amino acids and Peptides	0.807	Tryptophan alkaloids	0.786	Simple indole alkaloids	0.445	Nucleosides, nucleotides, and analogues	0.759	Nucleoside and nucleotide analogues	0.409	1-pyranosylindoles	0.818			1-pyranosylindoles	0.818	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Alcohols and polyols; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Indolyl carboxylic acids and derivatives; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; Glycosylamines; Substituted pyrroles; Polyols; N-acyl-alpha amino acids; Alpha amino acids; Benzenoids; Amines; Primary amines; Indoles; 1-pyranosylindoles; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	367.150	131	2.179	740686354115145487	740686084752745383	5428	
1	C14H29N3O3	[M + Na]+	C14H29N3NaO3+	Amino acids and Peptides	0.980	Small peptides	0.995	Dipeptides	0.955	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.980	Peptides	0.521	Peptides	0.521	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	310.212	158	2.629	740686353087540756	740686083662226303	5790	
1	C15H6O3	[M + H]+	C15H7O3+	Polyketides	0.666	Polycyclic aromatic polyketides	0.474	Anthraquinones and anthrones	0.551	Benzenoids	0.998	Naphthalenes	0.617					Naphthalenes	0.617	Organic compounds; Organoheterocyclic compounds; Naphthalenes; Organooxygen compounds; Carbonyl compounds; Benzenoids; Aryl ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	235.039	164	2.734	740686353624411698	740686082659787617	6037	
1	C6H8O3	[M + H]+	C6H9O3+	Fatty acids	0.997	Fatty esters	0.976	Wax monoesters	0.867	Lipids and lipid-like molecules	0.705	Fatty Acyls	0.711	Fatty acid esters	0.596			Fatty acid esters	0.596	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	129.055	164	2.735	740686353246924327	740686081644766024	6072	
1	C4H4O3	[M + H]+	C4H5O3+	Fatty acids	0.554	Cyclic polyketides	0.273	Lactones	0.134	Organic acids and derivatives	0.990	Carboxylic acids and derivatives	0.984	Dicarboxylic acids and derivatives	0.666			Dicarboxylic acids and derivatives	0.666	Organic compounds; Organoheterocyclic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid anhydrides; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	101.023	164	2.736	740686353871875765	740686080914957123	6079	
